Recommended,Suggestion_Id,Responses,Views,Votes_Up,Votes_Down,Author_Id,Author_Join (in terms of how many days since they joined),Author_TotalPosts,Author_PostsPerDay
0,108699,1,17,0,0,345763,1252,15,0
0,108717,13,168,8,2,319750,1271,513,0.4
0,108774,145,3009,126,15,115779,1384,1442,1
0,108777,1,24,0,0,242927,1322,68,0.1
0,108841,487,19867,999,125,221915,1332,2080,1.6
0,108846,1,15,0,0,320140,1271,16,0
0,108925,172,8875,416,43,4886,1615,8977,5.6
0,108954,16,243,5,10,439369,1191,587,0.5
0,108981,4,44,0,0,320140,1271,16,0
0,108994,4,57,0,0,85106,1531,1,0
0,109005,64,2186,60,26,496808,1118,151,0.1
0,109055,5,75,0,0,484214,1148,226,0.2
1,109056,140,4084,235,14,439369,1191,587,0.5
1,109058,108,63243,222,23,202713,1343,398,0.3
0,109201,12,151,5,8,484214,1148,226,0.2
0,109208,162,12176,211,62,353040,1247,2580,2.1
0,109246,26,305,1,27,364113,1238,12,0
0,109367,15,227,0,14,445715,1186,2296,1.9
0,109403,1,25,0,0,18840,1583,3,0
0,109431,6,76,1,0,519685,1091,3,0
0,109478,1,29,2,0,333798,1261,140,0.1
0,109525,12,164,1,9,484214,1148,226,0.2
0,109640,105,2506,149,3,365965,1237,5191,4.2
0,109647,33,1176,14,42,11310,1596,553,0.3
0,109667,6,75,0,0,330308,1264,31,0
0,109675,162,4706,292,30,312685,1275,2410,1.9
0,109682,18,174,2,12,484214,1148,226,0.2
0,109711,11,165,3,7,484214,1148,226,0.2
0,109751,29,408,35,8,486734,1144,1136,1
0,109754,4,85,0,4,455243,1180,34,0
0,109801,99,1460,52,11,498321,1116,9992,9
0,109862,35,449,29,2,304457,1281,1215,1
0,109880,58,3100,84,33,179419,1355,999,0.7
0,109895,65,2826,85,24,179419,1355,999,0.7
0,109973,2,107,0,0,155900,1368,51,0
0,110008,5,80,0,0,528586,1086,30,0
0,110019,72,1645,137,4,61426,1548,3623,2.3
0,110072,7,92,0,0,132968,1377,56,0
0,110089,42,2202,52,19,179419,1355,999,0.7
0,110146,109,2393,107,24,435102,1193,177,0.1
0,110151,10,187,2,10,265707,1310,1035,0.8
0,110246,5,67,3,0,18,1624,6424,4
0,110320,15,216,6,1,189383,1350,926,0.7
0,110325,0,10,0,0,189383,1350,926,0.7
0,110353,3,80,0,0,160052,1366,2,0
0,110400,53,918,105,0,7362,1607,66,0
0,110401,1,22,0,0,170303,1360,839,0.6
0,110402,5,77,1,0,170303,1360,839,0.6
0,110422,107,3720,120,73,179419,1355,999,0.7
0,110429,128,5869,172,22,179419,1355,999,0.7
0,110448,115,3778,124,75,86956,1528,377,0.2
0,110471,8,118,2,5,327658,1265,747,0.6
0,110513,10,166,0,0,317035,1273,73,0.1
0,110536,7,825,0,1,447875,1184,784,0.7
0,110606,87,3404,124,23,179419,1355,999,0.7
0,110631,1,126,0,0,50384,1555,13,0
0,110645,1,50,0,0,144117,1373,133,0.1
0,110650,3,60,0,0,536779,1082,101,0.1
1,110788,50,1282,86,6,10213,1598,706,0.4
0,110797,73,2171,115,10,261866,1312,583,0.4
0,110812,69,2036,71,19,155354,1368,1582,1.2
0,110848,3,69,0,0,26483,1568,8,0
0,110887,3,118,0,0,495412,1120,6,0
1,110904,165,8455,99,11,216131,1336,4004,3
0,110980,0,16,0,0,185653,1352,433,0.3
0,110981,9,147,3,1,185653,1352,433,0.3
0,110982,5,71,4,0,95315,1506,65,0
0,111209,3,57,0,0,529904,1086,103,0.1
0,111293,8,92,4,1,140542,1374,30,0
0,111334,6,120,5,0,495412,1120,6,0
0,111387,4,56,1,2,364113,1238,12,0
0,111561,13,142,3,5,342072,1255,519,0.4
0,111600,55,1436,52,13,312685,1275,2410,1.9
0,111622,1,22,0,0,60549,1549,192,0.1
0,111623,2,39,0,0,495538,1120,164,0.1
0,111627,0,16,0,0,60549,1549,192,0.1
0,111691,37,4565,54,0,327658,1265,747,0.6
0,111729,7,138,3,4,439354,1191,432,0.4
0,111731,9,133,0,10,439354,1191,432,0.4
1,111738,207,11244,162,18,216131,1336,4004,3
0,111751,5,79,5,0,266130,1309,967,0.7
0,111776,7,133,5,2,3855,1617,4376,2.7
0,111799,6,142,0,0,42794,1559,267,0.2
1,111956,38,1121,87,3,439369,1191,587,0.5
0,111977,15,523,21,9,16223,1589,47,0
0,112075,20,291,9,3,194538,1347,1190,0.9
0,112133,22,433,9,7,111380,1386,374,0.3
0,112135,0,13,0,0,111380,1386,374,0.3
0,112137,30,443,15,11,111380,1386,374,0.3
0,112141,30,360,16,4,496808,1118,151,0.1
0,112144,89,1880,45,13,365965,1237,5191,4.2
0,112181,17,277,3,11,75337,1539,3,0
0,112182,19,405,19,5,312685,1275,2410,1.9
0,112202,2,36,0,0,401115,1211,126,0.1
0,112213,4,45,0,0,385416,1220,31,0
0,112218,33,514,16,5,312685,1275,2410,1.9
0,112221,18,387,14,4,312685,1275,2410,1.9
0,112280,99,2851,112,27,179419,1355,999,0.7
0,112405,1,25,0,0,398449,1212,1694,1.4
0,112433,1,51,0,0,4229,1616,139,0.1
0,112462,15,367,16,1,346337,1252,1201,1
0,112496,2,61,5,0,355624,1245,21,0
0,112511,4,67,0,0,311702,1276,233,0.2
0,112518,2,39,0,0,311702,1276,233,0.2
0,112564,11,215,6,2,4144,1616,808,0.5
0,112573,12,305,2,7,311702,1276,233,0.2
0,112574,6,123,0,5,112559,1386,81,0.1
0,112596,5,126,7,2,101019,1489,2302,1.5
0,112632,10,165,0,14,8388,1601,428,0.3
0,112694,21,424,13,4,312685,1275,2410,1.9
0,112772,1,47,0,0,112301,1386,293,0.2
0,112794,50,1769,87,17,35543,1563,2193,1.4
0,112804,23,502,16,2,125773,1380,360,0.3
0,112812,6,113,2,2,95315,1506,65,0
0,112819,3,101,0,1,42934,1559,29,0
0,112866,16,235,4,5,344128,1253,27,0
0,112957,1,184,0,0,543174,1079,6920,6.4
0,112963,65,1413,128,13,86956,1528,377,0.2
0,113012,5,66,2,1,400891,1211,1030,0.9
0,113028,14,230,6,2,344128,1253,27,0
0,113049,2,91,0,0,189383,1350,926,0.7
0,113059,4,106,0,0,495091,1121,15,0
0,113086,36,487,50,2,301903,1283,381,0.3
0,113089,20,456,27,2,533909,1084,5,0
0,113118,0,54,2,0,550119,1070,59,0.1
0,113119,13,185,12,1,39273,1561,241,0.2
0,113138,14,823,11,8,179419,1355,999,0.7
1,113144,165,2919,207,7,4144,1616,808,0.5
0,113156,9,153,3,2,10213,1598,706,0.4
0,113188,5,81,4,0,199627,1345,190,0.1
0,113215,0,46,0,0,199627,1345,190,0.1
0,113216,31,594,48,11,139096,1375,1083,0.8
0,113222,0,7,0,0,138376,1375,406,0.3
0,113259,2,22,0,0,565110,1062,1,0
0,113270,1,30,0,0,198959,1345,116,0.1
0,113282,3,49,5,0,175127,1358,21,0
1,113295,164,5412,358,15,179419,1355,999,0.7
0,113298,1,26,0,0,558766,1065,1,0
0,113347,2,57,0,0,566387,1061,40,0
0,113352,32,743,29,2,379308,1224,52,0
0,113366,1,28,0,0,134903,1376,11,0
0,113372,1,35,0,0,14609,1592,20,0
0,113387,3,99,0,0,198959,1345,116,0.1
0,113400,54,1329,62,34,496808,1118,151,0.1
0,113406,17,151,18,2,319750,1271,513,0.4
0,113435,2,31,0,0,567742,1060,2,0
0,113445,47,1025,67,4,413026,1205,1205,1
0,113449,57,2069,95,15,179419,1355,999,0.7
0,113451,54,5216,63,6,171271,1360,4123,3
0,113458,12,159,13,1,4482,1616,493,0.3
0,113491,8,100,7,1,76854,1537,121,0.1
0,113522,49,1223,82,3,379308,1224,52,0
0,113536,1,28,0,2,489333,1130,392,0.3
0,113589,4,98,2,1,315274,1274,129,0.1
0,113594,20,350,5,1,498009,1116,152,0.1
0,113598,190,11478,409,112,221915,1332,2080,1.6
0,113618,1,41,1,0,340305,1256,41,0
0,113640,5,118,2,0,566387,1061,40,0
0,113678,4,81,1,0,505304,1101,149,0.1
0,113687,41,1027,38,2,379308,1224,52,0
0,113730,5,164,0,0,363069,1239,499,0.4
0,113764,6,119,3,5,29136,1567,426,0.3
0,113771,8,147,4,0,106787,1472,76,0.1
0,113772,1,55,0,0,156076,1368,410,0.3
1,113773,85,2535,157,5,92320,1514,1267,0.8
0,113781,9,84,5,0,22259,1574,1425,0.9
0,113823,1,37,0,0,553436,1068,15,0
0,113828,34,1598,46,11,179419,1355,999,0.7
0,113855,23,401,27,0,16382,1589,90,0.1
0,113864,0,12,0,0,159925,1366,289,0.2
0,113865,1,52,0,0,159925,1366,289,0.2
0,113866,1,127,1,0,48603,1556,6,0
0,113879,99,4366,125,95,363069,1239,499,0.4
0,113884,1,90,0,0,303830,1282,2058,1.6
0,113895,43,1461,37,13,445715,1186,2296,1.9
0,113922,1,103,0,0,487384,1143,126,0.1
0,113977,65,2225,58,15,445715,1186,2296,1.9
0,113979,7,152,7,3,109955,1386,89,0.1
0,114007,1,34,0,0,29803,1566,230,0.1
0,114027,4,81,2,1,29803,1566,230,0.1
0,114030,14,216,13,1,16223,1589,47,0
0,114037,17,252,24,3,261866,1312,583,0.4
0,114100,2,84,0,0,306253,1280,295,0.2
0,114115,151,10941,362,41,329214,1264,143,0.1
0,114133,5,100,2,3,16602,1588,168,0.1
0,114134,24,390,13,9,439369,1191,587,0.5
0,114148,9,133,5,4,312685,1275,2410,1.9
0,114169,2,41,0,0,24717,1568,245,0.2
0,114170,1,70,0,0,539029,1081,20,0
0,114182,0,70,0,1,24717,1568,245,0.2
0,114187,3,86,2,0,79228,1535,339,0.2
0,114211,8,149,0,0,577110,1056,1881,1.8
0,114222,14,248,13,2,211160,1338,162,0.1
0,114224,1,96,0,0,566852,1061,2,0
0,114245,12,240,3,6,423724,1199,737,0.6
0,114248,14,192,3,10,423724,1199,737,0.6
0,114253,7,114,2,0,423724,1199,737,0.6
0,114255,0,66,0,1,22067,1574,884,0.6
0,114262,4,78,1,1,22067,1574,884,0.6
0,114279,0,34,0,0,25835,1568,228,0.1
0,114281,95,1557,77,15,25835,1568,228,0.1
0,114288,6,86,0,0,576854,1057,1,0
0,114369,12,294,8,0,214363,1336,339,0.3
0,114395,3,77,2,0,627,1620,540,0.3
0,114407,49,879,47,6,423724,1199,737,0.6
0,114410,1,31,0,0,423724,1199,737,0.6
0,114413,1,36,0,0,423724,1199,737,0.6
0,114423,10,168,5,1,368235,1235,73,0.1
0,114428,17,339,2,7,423724,1199,737,0.6
0,114455,50,1409,126,2,577110,1056,1881,1.8
0,114471,5,75,0,0,61426,1548,3623,2.3
0,114481,6,138,3,2,314669,1274,124,0.1
0,114523,3,228,0,0,462502,1175,5,0
0,114573,13,160,1,2,48603,1556,6,0
0,114592,146,4036,81,13,189383,1350,926,0.7
0,114606,19,311,8,4,131778,1378,2248,1.6
0,114621,4,51,0,2,258237,1314,24,0
0,114630,88,2436,39,9,423724,1199,737,0.6
0,114636,5,93,1,2,1046,1620,71,0
0,114638,40,1149,48,9,61426,1548,3623,2.3
0,114663,2,71,1,0,126616,1380,347,0.3
0,114665,9,152,0,0,156076,1368,410,0.3
0,114675,2,121,0,5,126616,1380,347,0.3
0,114679,6,63,0,0,112767,1386,70,0.1
0,114681,0,68,0,0,20037,1580,540,0.3
0,114685,4,62,0,4,39273,1561,241,0.2
0,114695,22,310,5,14,118733,1383,59,0
0,114701,1,33,0,0,31453,1566,15,0
0,114709,4,68,0,2,241134,1323,126,0.1
0,114712,3,52,0,0,584162,1053,1,0
0,114719,2,99,0,1,495538,1120,164,0.1
0,114720,11,180,2,10,495538,1120,164,0.1
0,114734,5,84,7,1,388536,1217,281,0.2
0,114746,0,40,0,0,258237,1314,24,0
0,114757,1,60,5,0,31453,1566,15,0
0,114824,0,56,0,0,515406,1093,48,0
0,114852,7,152,0,6,423724,1199,737,0.6
0,114857,6,110,0,4,423724,1199,737,0.6
0,114892,0,55,0,0,14008,1593,285,0.2
0,114940,43,773,25,17,423724,1199,737,0.6
0,114941,3,141,1,3,400891,1211,1030,0.9
0,114963,6,110,13,0,511027,1096,7,0
0,115033,2,81,0,0,583729,1053,12,0
0,115036,119,12797,265,56,61075,1549,2922,1.9
0,115090,1,63,0,0,577110,1056,1881,1.8
0,115110,140,2668,105,28,423724,1199,737,0.6
0,115129,1,93,0,0,8631,1601,2626,1.6
0,115143,1,126,7,0,585650,1052,160,0.2
0,115232,95,2046,64,11,61075,1549,2922,1.9
0,115259,2,91,1,1,159925,1366,289,0.2
0,115274,1,72,0,0,144909,1373,1683,1.2
0,115284,1,67,0,0,160052,1366,2,0
0,115308,17,297,4,4,107505,1387,143,0.1
0,115311,28,403,21,0,468624,1171,15,0
0,115326,4,81,0,0,590903,1050,8,0
0,115330,36,1654,115,24,39273,1561,241,0.2
0,115351,1,80,0,0,585437,1053,3,0
0,115388,7,140,0,5,405594,1209,5,0
0,115438,18,184,17,3,8583,1601,144,0.1
0,115466,12,144,2,7,505304,1101,149,0.1
0,115476,7,210,2,0,406460,1208,2556,2.1
0,115493,11,172,5,1,81250,1534,781,0.5
0,115503,11,146,1,7,4482,1616,493,0.3
0,115541,24,406,37,1,593045,1049,277,0.3
0,115575,41,1135,28,1,325236,1267,140,0.1
0,115728,1,65,6,0,413026,1205,1205,1
0,115741,32,681,23,5,312685,1275,2410,1.9
0,115763,5,184,6,1,10980,1597,314,0.2
0,115789,11,139,2,3,627,1620,540,0.3
0,115809,14,125,8,4,35543,1563,2193,1.4
0,115824,1,47,1,0,390,1620,3973,2.5
0,115832,20,320,4,5,211160,1338,162,0.1
0,115835,1,154,3,2,292374,1291,2,0
0,115862,4,450,8,10,406460,1208,2556,2.1
0,115880,15,207,5,1,1184,1620,1594,1
0,115926,21,316,34,1,3013,1618,449,0.3
0,115949,10,230,4,5,426127,1197,530,0.4
0,115972,30,610,25,8,113521,1385,78,0.1
0,116007,0,16,0,0,532578,1084,47,0
0,116012,15,242,17,2,532578,1084,47,0
0,116033,2,179,0,0,598134,1046,1,0
0,116073,4,66,0,0,588607,1051,98,0.1
0,116206,7,141,0,0,370421,1232,4,0
0,116219,12,213,4,4,109338,1387,172,0.1
0,116263,68,2421,16,47,86956,1528,377,0.2
0,116283,1,77,0,0,86300,1529,80,0.1
0,116371,1,86,0,0,591334,1050,95,0.1
0,116454,25,546,31,1,312685,1275,2410,1.9
0,116660,8,148,2,4,86956,1528,377,0.2
0,116749,15,196,6,6,529904,1086,103,0.1
0,116769,3,73,0,0,107505,1387,143,0.1
1,116804,132,36618,436,29,202713,1343,398,0.3
0,116817,3,100,0,0,10471,1598,15,0
0,116821,1,73,0,0,445104,1186,262,0.2
1,116858,110,2514,192,13,312685,1275,2410,1.9
0,116862,1,25,0,0,79609,1535,4992,3.3
0,116865,35,593,27,6,79609,1535,4992,3.3
1,116923,34,913,59,3,304533,1281,219,0.2
0,116969,12,259,2,5,8290,1601,35,0
