Recommended,SuggID,Responses,Views,VoteUp,VoteDown,AuthID,AuthTenure,AuthPosts,AuthPost/Day,AuthScore,Up/Down,Up/Views,Down/Views,UpViewsRank
0,169222,50,670,47,3,394835,1214,5956,4.9,0.939195271,15.66666667,0.070149254,0.004477612,0
1,202284,33,630,46,1,394835,1214,5956,4.9,0.939195271,46,0.073015873,0.001587302,0
1,181710,43,640,45,3,394835,1214,5956,4.9,0.939195271,15,0.0703125,0.0046875,0
1,155370,64,933,45,5,394835,1214,5956,4.9,0.939195271,9,0.048231511,0.005359057,0
1,202829,32,476,44,1,394835,1214,5956,4.9,0.939195271,44,0.092436975,0.00210084,0
1,237720,52,1886,44,4,394835,1214,5956,4.9,0.939195271,11,0.023329799,0.002120891,0
1,192597,22,491,44,5,394835,1214,5956,4.9,0.939195271,8.8,0.089613035,0.010183299,0
1,218016,21,547,44,0,394835,1214,5956,4.9,0.939195271,0,0.080438757,0,0
1,232706,50,922,43,4,394835,1214,5956,4.9,0.939195271,10.75,0.046637744,0.004338395,0
0,202499,23,416,43,0,394835,1214,5956,4.9,0.939195271,0,0.103365385,0,1
1,238220,33,507,42,1,394835,1214,5956,4.9,0.939195271,42,0.082840237,0.001972387,0
1,220309,41,793,42,3,394835,1214,5956,4.9,0.939195271,14,0.05296343,0.003783102,0
0,156967,30,411,41,1,394835,1214,5956,4.9,0.939195271,41,0.099756691,0.00243309,1
1,233827,41,595,41,1,394835,1214,5956,4.9,0.939195271,41,0.068907563,0.001680672,0
1,171031,33,555,41,3,394835,1214,5956,4.9,0.939195271,13.66666667,0.073873874,0.005405405,0
1,175194,41,931,41,4,394835,1214,5956,4.9,0.939195271,10.25,0.044038668,0.004296455,0
1,240583,35,707,41,5,394835,1214,5956,4.9,0.939195271,8.2,0.057991513,0.007072136,0
0,196970,45,1929,41,7,394835,1214,5956,4.9,0.939195271,5.857142857,0.021254536,0.003628823,0
0,175196,45,1681,41,8,394835,1214,5956,4.9,0.939195271,5.125,0.024390244,0.004759072,0
1,181658,25,365,41,0,394835,1214,5956,4.9,0.939195271,0,0.112328767,0,1
1,202769,27,494,41,0,394835,1214,5956,4.9,0.939195271,0,0.082995951,0,0
1,220314,43,879,40,3,394835,1214,5956,4.9,0.939195271,13.33333333,0.045506257,0.003412969,0
0,243351,22,575,40,4,394835,1214,5956,4.9,0.939195271,10,0.069565217,0.006956522,0
1,192387,50,832,40,5,394835,1214,5956,4.9,0.939195271,8,0.048076923,0.006009615,0
1,174161,33,471,39,4,394835,1214,5956,4.9,0.939195271,9.75,0.082802548,0.008492569,0
1,171755,42,737,39,4,394835,1214,5956,4.9,0.939195271,9.75,0.052917232,0.005427408,0
1,194547,40,541,39,5,394835,1214,5956,4.9,0.939195271,7.8,0.072088725,0.009242144,0
1,208125,35,513,38,1,394835,1214,5956,4.9,0.939195271,38,0.074074074,0.001949318,0
0,168409,43,600,38,1,394835,1214,5956,4.9,0.939195271,38,0.063333333,0.001666667,0
0,235634,39,896,38,2,394835,1214,5956,4.9,0.939195271,19,0.042410714,0.002232143,0
1,235603,30,480,38,0,394835,1214,5956,4.9,0.939195271,0,0.079166667,0,0
1,197625,38,496,37,1,394835,1214,5956,4.9,0.939195271,37,0.074596774,0.002016129,0
0,239087,25,608,37,1,394835,1214,5956,4.9,0.939195271,37,0.060855263,0.001644737,0
1,185687,41,638,37,1,394835,1214,5956,4.9,0.939195271,37,0.05799373,0.001567398,0
0,189422,47,2055,37,7,394835,1214,5956,4.9,0.939195271,5.285714286,0.018004866,0.003406326,0
1,201539,24,459,37,0,394835,1214,5956,4.9,0.939195271,0,0.080610022,0,0
0,167922,55,1201,36,7,394835,1214,5956,4.9,0.939195271,5.142857143,0.029975021,0.005828476,0
1,194672,25,415,36,0,394835,1214,5956,4.9,0.939195271,0,0.086746988,0,0
0,271460,50,2038,35,5,394835,1214,5956,4.9,0.939195271,7,0.0171737,0.002453386,0
1,170881,23,432,35,0,394835,1214,5956,4.9,0.939195271,0,0.081018519,0,0
1,189026,39,655,34,1,394835,1214,5956,4.9,0.939195271,34,0.051908397,0.001526718,0
1,175179,32,1074,34,1,394835,1214,5956,4.9,0.939195271,34,0.031657356,0.000931099,0
0,201018,24,513,34,2,394835,1214,5956,4.9,0.939195271,17,0.066276803,0.003898635,0
0,217291,35,738,34,0,394835,1214,5956,4.9,0.939195271,0,0.046070461,0,0
1,186996,37,543,33,1,394835,1214,5956,4.9,0.939195271,33,0.060773481,0.001841621,0
1,271775,39,694,32,1,394835,1214,5956,4.9,0.939195271,32,0.04610951,0.001440922,0
0,215679,43,1522,32,8,394835,1214,5956,4.9,0.939195271,4,0.021024967,0.005256242,0
1,187824,32,516,31,1,394835,1214,5956,4.9,0.939195271,31,0.060077519,0.001937984,0
1,232333,29,556,30,1,394835,1214,5956,4.9,0.939195271,30,0.053956835,0.001798561,0
1,232172,18,454,29,1,394835,1214,5956,4.9,0.939195271,29,0.063876652,0.002202643,0
0,202291,24,860,29,8,394835,1214,5956,4.9,0.939195271,3.625,0.03372093,0.009302326,0
0,163882,28,602,28,10,394835,1214,5956,4.9,0.939195271,2.8,0.046511628,0.016611296,0
0,248799,35,1048,26,4,394835,1214,5956,4.9,0.939195271,6.5,0.02480916,0.003816794,0
0,215098,28,816,25,5,394835,1214,5956,4.9,0.939195271,5,0.030637255,0.006127451,0
0,223553,34,924,25,7,394835,1214,5956,4.9,0.939195271,3.571428571,0.027056277,0.007575758,0
0,220311,33,756,24,7,394835,1214,5956,4.9,0.939195271,3.428571429,0.031746032,0.009259259,0
0,170950,27,401,24,9,394835,1214,5956,4.9,0.939195271,2.666666667,0.059850374,0.02244389,0
0,187001,21,231,24,0,394835,1214,5956,4.9,0.939195271,0,0.103896104,0,1
0,192122,13,747,24,0,394835,1214,5956,4.9,0.939195271,0,0.032128514,0,0
0,217249,27,606,20,4,394835,1214,5956,4.9,0.939195271,5,0.0330033,0.00660066,0
0,195439,36,473,20,6,394835,1214,5956,4.9,0.939195271,3.333333333,0.042283298,0.012684989,0
0,172798,42,613,20,7,394835,1214,5956,4.9,0.939195271,2.857142857,0.032626427,0.01141925,0
0,157222,53,1670,20,8,394835,1214,5956,4.9,0.939195271,2.5,0.011976048,0.004790419,0
0,195891,38,1719,19,1,394835,1214,5956,4.9,0.939195271,19,0.011052938,0.000581734,0
0,172435,28,655,18,1,394835,1214,5956,4.9,0.939195271,18,0.027480916,0.001526718,0
0,189211,39,679,18,4,394835,1214,5956,4.9,0.939195271,4.5,0.026509573,0.005891016,0
0,186769,38,509,18,7,394835,1214,5956,4.9,0.939195271,2.571428571,0.035363458,0.013752456,0
0,215830,20,837,16,3,394835,1214,5956,4.9,0.939195271,5.333333333,0.01911589,0.003584229,0
0,175190,15,470,16,4,394835,1214,5956,4.9,0.939195271,4,0.034042553,0.008510638,0
0,155801,19,391,15,10,394835,1214,5956,4.9,0.939195271,1.5,0.038363171,0.025575448,0
0,209855,26,1583,14,3,394835,1214,5956,4.9,0.939195271,4.666666667,0.008843967,0.001895136,0
0,218557,24,389,13,2,394835,1214,5956,4.9,0.939195271,6.5,0.033419023,0.005141388,0
0,228833,26,423,13,2,394835,1214,5956,4.9,0.939195271,6.5,0.030732861,0.004728132,0
0,217825,25,499,12,3,394835,1214,5956,4.9,0.939195271,4,0.024048096,0.006012024,0
0,186527,26,263,12,6,394835,1214,5956,4.9,0.939195271,2,0.045627376,0.022813688,0
0,152290,21,489,12,10,394835,1214,5956,4.9,0.939195271,1.2,0.024539877,0.020449898,0
0,233626,23,305,11,5,394835,1214,5956,4.9,0.939195271,2.2,0.036065574,0.016393443,0
0,182871,20,222,11,7,394835,1214,5956,4.9,0.939195271,1.571428571,0.04954955,0.031531532,0
0,232680,27,694,10,1,394835,1214,5956,4.9,0.939195271,10,0.014409222,0.001440922,0
0,176264,16,228,10,7,394835,1214,5956,4.9,0.939195271,1.428571429,0.043859649,0.030701754,0
0,233826,14,205,10,0,394835,1214,5956,4.9,0.939195271,0,0.048780488,0,0
0,175180,12,376,9,3,394835,1214,5956,4.9,0.939195271,3,0.02393617,0.007978723,0
0,176136,18,254,9,7,394835,1214,5956,4.9,0.939195271,1.285714286,0.035433071,0.027559055,0
0,190138,14,119,9,0,394835,1214,5956,4.9,0.939195271,0,0.075630252,0,0
0,216316,7,87,8,1,394835,1214,5956,4.9,0.939195271,8,0.091954023,0.011494253,0
0,201396,11,172,8,1,394835,1214,5956,4.9,0.939195271,8,0.046511628,0.005813953,0
0,174932,6,127,8,2,394835,1214,5956,4.9,0.939195271,4,0.062992126,0.015748031,0
0,176596,13,222,8,2,394835,1214,5956,4.9,0.939195271,4,0.036036036,0.009009009,0
0,202285,21,324,8,3,394835,1214,5956,4.9,0.939195271,2.666666667,0.024691358,0.009259259,0
0,201868,23,347,8,3,394835,1214,5956,4.9,0.939195271,2.666666667,0.023054755,0.008645533,0
0,215674,12,354,8,3,394835,1214,5956,4.9,0.939195271,2.666666667,0.02259887,0.008474576,0
0,196424,15,199,8,5,394835,1214,5956,4.9,0.939195271,1.6,0.040201005,0.025125628,0
0,208178,13,110,8,0,394835,1214,5956,4.9,0.939195271,0,0.072727273,0,0
0,175227,8,321,7,2,394835,1214,5956,4.9,0.939195271,3.5,0.021806854,0.00623053,0
0,215093,10,326,7,2,394835,1214,5956,4.9,0.939195271,3.5,0.021472393,0.006134969,0
0,204452,20,196,7,3,394835,1214,5956,4.9,0.939195271,2.333333333,0.035714286,0.015306122,0
0,202825,9,105,7,0,394835,1214,5956,4.9,0.939195271,0,0.066666667,0,0
0,241184,27,373,6,2,394835,1214,5956,4.9,0.939195271,3,0.016085791,0.00536193,0
0,214837,10,106,6,3,394835,1214,5956,4.9,0.939195271,2,0.056603774,0.028301887,0
0,174536,15,183,6,3,394835,1214,5956,4.9,0.939195271,2,0.032786885,0.016393443,0
0,175671,7,396,6,3,394835,1214,5956,4.9,0.939195271,2,0.015151515,0.007575758,0
0,215697,7,152,5,1,394835,1214,5956,4.9,0.939195271,5,0.032894737,0.006578947,0
0,225607,20,332,5,2,394835,1214,5956,4.9,0.939195271,2.5,0.015060241,0.006024096,0
0,175185,3,173,5,4,394835,1214,5956,4.9,0.939195271,1.25,0.028901734,0.023121387,0
0,152286,23,228,5,9,394835,1214,5956,4.9,0.939195271,0.555555556,0.021929825,0.039473684,0
0,177962,6,120,4,2,394835,1214,5956,4.9,0.939195271,2,0.033333333,0.016666667,0
0,215095,11,164,4,2,394835,1214,5956,4.9,0.939195271,2,0.024390244,0.012195122,0
0,224985,10,317,4,2,394835,1214,5956,4.9,0.939195271,2,0.012618297,0.006309148,0
0,248794,9,111,4,3,394835,1214,5956,4.9,0.939195271,1.333333333,0.036036036,0.027027027,0
0,180231,6,142,4,3,394835,1214,5956,4.9,0.939195271,1.333333333,0.028169014,0.021126761,0
0,169979,17,152,4,3,394835,1214,5956,4.9,0.939195271,1.333333333,0.026315789,0.019736842,0
0,233417,17,211,4,5,394835,1214,5956,4.9,0.939195271,0.8,0.018957346,0.023696682,0
0,174986,4,52,4,0,394835,1214,5956,4.9,0.939195271,0,0.076923077,0,0
0,175181,0,133,3,2,394835,1214,5956,4.9,0.939195271,1.5,0.022556391,0.015037594,0
0,180334,12,216,3,7,394835,1214,5956,4.9,0.939195271,0.428571429,0.013888889,0.032407407,0
0,217666,15,156,3,0,394835,1214,5956,4.9,0.939195271,0,0.019230769,0,0
0,207998,6,179,3,0,394835,1214,5956,4.9,0.939195271,0,0.016759777,0,0
0,231650,9,84,2,2,394835,1214,5956,4.9,0.939195271,1,0.023809524,0.023809524,0
0,209062,4,91,2,2,394835,1214,5956,4.9,0.939195271,1,0.021978022,0.021978022,0
0,173629,7,97,2,2,394835,1214,5956,4.9,0.939195271,1,0.020618557,0.020618557,0
0,205746,8,110,2,2,394835,1214,5956,4.9,0.939195271,1,0.018181818,0.018181818,0
0,220312,10,153,2,2,394835,1214,5956,4.9,0.939195271,1,0.013071895,0.013071895,0
0,175412,14,134,2,3,394835,1214,5956,4.9,0.939195271,0.666666667,0.014925373,0.02238806,0
0,189346,7,98,2,5,394835,1214,5956,4.9,0.939195271,0.4,0.020408163,0.051020408,0
0,170392,5,89,2,0,394835,1214,5956,4.9,0.939195271,0,0.02247191,0,0
0,217633,2,90,1,1,394835,1214,5956,4.9,0.939195271,1,0.011111111,0.011111111,0
0,175253,2,110,1,1,394835,1214,5956,4.9,0.939195271,1,0.009090909,0.009090909,0
0,217008,11,139,1,1,394835,1214,5956,4.9,0.939195271,1,0.007194245,0.007194245,0
0,235691,10,176,1,1,394835,1214,5956,4.9,0.939195271,1,0.005681818,0.005681818,0
0,217292,10,112,1,2,394835,1214,5956,4.9,0.939195271,0.5,0.008928571,0.017857143,0
0,189509,2,38,1,0,394835,1214,5956,4.9,0.939195271,0,0.026315789,0,0
0,189199,7,79,1,0,394835,1214,5956,4.9,0.939195271,0,0.012658228,0,0
0,232708,2,100,1,0,394835,1214,5956,4.9,0.939195271,0,0.01,0,0
0,182925,4,102,1,0,394835,1214,5956,4.9,0.939195271,0,0.009803922,0,0
0,152285,0,26,0,0,394835,1214,5956,4.9,0.939195271,0,0,0,0
0,156031,1,25,0,0,394835,1214,5956,4.9,0.939195271,0,0,0,0
0,174983,1,52,0,0,394835,1214,5956,4.9,0.939195271,0,0,0,0
0,182710,1,76,0,0,394835,1214,5956,4.9,0.939195271,0,0,0,0
0,65148,166,15303,688,45,42127,1559,65,0,0.932510439,15.28888889,0.044958505,0.0029406,0
0,97620,244,6921,473,12,365965,1237,5191,4.2,0.859356202,39.41666667,0.068342725,0.001733853,0
1,95610,217,11582,255,32,365965,1237,5191,4.2,0.859356202,7.96875,0.022016923,0.002762908,0
1,117032,174,5064,253,26,365965,1237,5191,4.2,0.859356202,9.730769231,0.049960506,0.005134281,0
0,109640,105,2506,149,3,365965,1237,5191,4.2,0.859356202,49.66666667,0.059457302,0.001197127,0
1,163225,81,1630,115,4,365965,1237,5191,4.2,0.859356202,28.75,0.070552147,0.002453988,0
1,107362,82,3554,115,5,365965,1237,5191,4.2,0.859356202,23,0.032357907,0.001406866,0
1,122823,71,21890,84,7,365965,1237,5191,4.2,0.859356202,12,0.003837369,0.000319781,0
1,121825,88,8587,82,11,365965,1237,5191,4.2,0.859356202,7.454545455,0.009549319,0.001281006,0
1,98532,102,26572,76,12,365965,1237,5191,4.2,0.859356202,6.333333333,0.002860154,0.000451603,0
1,126940,52,1409,70,2,365965,1237,5191,4.2,0.859356202,35,0.049680625,0.001419446,0
1,171984,65,1734,70,4,365965,1237,5191,4.2,0.859356202,17.5,0.040369089,0.002306805,0
1,139527,60,8215,67,4,365965,1237,5191,4.2,0.859356202,16.75,0.008155813,0.000486914,0
1,154414,56,1274,61,3,365965,1237,5191,4.2,0.859356202,20.33333333,0.047880691,0.002354788,0
0,97505,112,1734,57,32,365965,1237,5191,4.2,0.859356202,1.78125,0.032871972,0.018454441,0
1,159733,59,8606,47,2,365965,1237,5191,4.2,0.859356202,23.5,0.005461306,0.000232396,0
0,112144,89,1880,45,13,365965,1237,5191,4.2,0.859356202,3.461538462,0.02393617,0.006914894,0
0,117543,73,1319,44,15,365965,1237,5191,4.2,0.859356202,2.933333333,0.033358605,0.011372252,0
0,203713,55,1163,42,8,365965,1237,5191,4.2,0.859356202,5.25,0.0361135,0.006878762,0
1,221756,39,1020,41,1,365965,1237,5191,4.2,0.859356202,41,0.040196078,0.000980392,0
1,160311,43,1045,39,1,365965,1237,5191,4.2,0.859356202,39,0.037320574,0.000956938,0
0,108590,50,1492,26,11,365965,1237,5191,4.2,0.859356202,2.363636364,0.017426273,0.007372654,0
0,169296,35,681,21,3,365965,1237,5191,4.2,0.859356202,7,0.030837004,0.004405286,0
0,184557,23,777,17,2,365965,1237,5191,4.2,0.859356202,8.5,0.021879022,0.002574003,0
0,238066,22,704,16,0,365965,1237,5191,4.2,0.859356202,0,0.022727273,0,0
0,222358,20,505,10,2,365965,1237,5191,4.2,0.859356202,5,0.01980198,0.003960396,0
0,190994,6,274,6,0,365965,1237,5191,4.2,0.859356202,0,0.02189781,0,0
0,203940,11,430,5,0,365965,1237,5191,4.2,0.859356202,0,0.011627907,0,0
0,173525,12,105,0,0,365965,1237,5191,4.2,0.859356202,0,0,0,0
0,218567,0,526,0,0,365965,1237,5191,4.2,0.859356202,0,0,0,0
0,218568,63,3943,0,0,365965,1237,5191,4.2,0.859356202,0,0,0,0
0,74258,148,3639,419,37,185566,1352,1975,1.5,0.828246825,11.32432432,0.115141522,0.010167628,1
1,159156,305,5117,410,20,418180,1202,3847,3.2,0.82174432,20.5,0.080125073,0.00390854,0
1,198123,560,26275,1625,199,110798,1386,710,0.5,0.802659239,8.165829146,0.061845861,0.007573739,0
0,183169,135,6849,419,11,110798,1386,710,0.5,0.802659239,38.09090909,0.061176814,0.001606074,0
1,174703,157,6881,404,13,110798,1386,710,0.5,0.802659239,31.07692308,0.058712396,0.00188926,0
0,163509,129,6127,345,38,110798,1386,710,0.5,0.802659239,9.078947368,0.056308144,0.006202056,0
0,181943,105,5885,311,24,110798,1386,710,0.5,0.802659239,12.95833333,0.052846219,0.004078165,0
1,166953,101,5224,266,14,110798,1386,710,0.5,0.802659239,19,0.050918836,0.002679939,0
1,136916,109,4244,250,28,110798,1386,710,0.5,0.802659239,8.928571429,0.058906692,0.006597549,0
0,182824,75,3043,207,1,110798,1386,710,0.5,0.802659239,207,0.068024975,0.000328623,0
0,180737,100,2632,183,7,110798,1386,710,0.5,0.802659239,26.14285714,0.069528875,0.002659574,0
0,249184,97,3983,153,11,110798,1386,710,0.5,0.802659239,13.90909091,0.038413256,0.002761737,0
0,136965,59,1398,110,7,110798,1386,710,0.5,0.802659239,15.71428571,0.078683834,0.005007153,0
0,260875,48,2609,95,19,110798,1386,710,0.5,0.802659239,5,0.036412419,0.007282484,0
0,158190,71,1794,72,18,110798,1386,710,0.5,0.802659239,4,0.040133779,0.010033445,0
0,263766,23,1419,54,3,110798,1386,710,0.5,0.802659239,18,0.038054968,0.002114165,0
0,135265,19,268,13,9,110798,1386,710,0.5,0.802659239,1.444444444,0.048507463,0.03358209,0
0,171844,20,343,12,6,110798,1386,710,0.5,0.802659239,2,0.034985423,0.017492711,0
0,176571,12,141,1,3,110798,1386,710,0.5,0.802659239,0.333333333,0.007092199,0.021276596,0
0,266503,10,365,1,6,110798,1386,710,0.5,0.802659239,0.166666667,0.002739726,0.016438356,0
0,136914,0,16,0,0,110798,1386,710,0.5,0.802659239,0,0,0,0
0,181829,1,55,0,0,110798,1386,710,0.5,0.802659239,0,0,0,0
0,226853,423,28940,742,177,216229,1335,229,0.2,0.798764847,4.192090395,0.025639254,0.006116102,0
0,195397,319,7813,370,105,216229,1335,229,0.2,0.798764847,3.523809524,0.047356969,0.01343914,0
0,123026,171,6113,424,46,80122,1535,1860,1.2,0.778824385,9.217391304,0.06936038,0.007524947,0
0,60164,187,12159,344,93,1115,1620,6334,3.9,0.76187189,3.698924731,0.0282918,0.007648655,0
0,222171,195,8423,300,78,626791,1027,4696,4.6,0.759481327,3.846153846,0.035616764,0.009260359,0
0,253846,143,9312,234,112,626791,1027,4696,4.6,0.759481327,2.089285714,0.025128866,0.012027491,0
1,204196,129,5385,218,30,626791,1027,4696,4.6,0.759481327,7.266666667,0.040482823,0.005571031,0
1,246063,74,5115,204,14,626791,1027,4696,4.6,0.759481327,14.57142857,0.039882698,0.002737048,0
1,246144,100,3951,202,14,626791,1027,4696,4.6,0.759481327,14.42857143,0.051126297,0.003543407,0
1,208630,64,3584,173,7,626791,1027,4696,4.6,0.759481327,24.71428571,0.048270089,0.001953125,0
0,197916,83,7884,157,35,626791,1027,4696,4.6,0.759481327,4.485714286,0.019913749,0.004439371,0
0,243290,74,5654,155,33,626791,1027,4696,4.6,0.759481327,4.696969697,0.02741422,0.005836576,0
1,246403,54,2802,152,23,626791,1027,4696,4.6,0.759481327,6.608695652,0.054246966,0.008208423,0
0,198180,97,9091,142,36,626791,1027,4696,4.6,0.759481327,3.944444444,0.015619844,0.00395996,0
1,203229,61,2944,123,9,626791,1027,4696,4.6,0.759481327,13.66666667,0.041779891,0.003057065,0
0,203692,59,5140,116,17,626791,1027,4696,4.6,0.759481327,6.823529412,0.022568093,0.003307393,0
0,238216,66,2540,106,2,626791,1027,4696,4.6,0.759481327,53,0.041732283,0.000787402,0
1,246124,55,2290,97,14,626791,1027,4696,4.6,0.759481327,6.928571429,0.042358079,0.006113537,0
0,206885,46,2177,95,7,626791,1027,4696,4.6,0.759481327,13.57142857,0.043638034,0.003215434,0
1,232912,35,1380,94,2,626791,1027,4696,4.6,0.759481327,47,0.068115942,0.001449275,0
0,233374,52,2492,91,11,626791,1027,4696,4.6,0.759481327,8.272727273,0.036516854,0.004414125,0
1,252076,65,2153,88,15,626791,1027,4696,4.6,0.759481327,5.866666667,0.0408732,0.006967023,0
0,269015,44,2581,71,8,626791,1027,4696,4.6,0.759481327,8.875,0.027508718,0.003099574,0
0,203688,48,3421,65,14,626791,1027,4696,4.6,0.759481327,4.642857143,0.019000292,0.004092371,0
0,246739,56,2080,59,9,626791,1027,4696,4.6,0.759481327,6.555555556,0.028365385,0.004326923,0
0,253658,42,3454,59,13,626791,1027,4696,4.6,0.759481327,4.538461538,0.017081644,0.003763752,0
1,244814,25,1097,50,3,626791,1027,4696,4.6,0.759481327,16.66666667,0.045578851,0.002734731,0
1,230656,17,980,46,0,626791,1027,4696,4.6,0.759481327,0,0.046938776,0,0
0,202787,35,1391,43,5,626791,1027,4696,4.6,0.759481327,8.6,0.030913012,0.003594536,0
0,203693,12,2675,39,3,626791,1027,4696,4.6,0.759481327,13,0.014579439,0.001121495,0
0,199361,38,1076,37,12,626791,1027,4696,4.6,0.759481327,3.083333333,0.034386617,0.011152416,0
0,257733,26,2631,33,9,626791,1027,4696,4.6,0.759481327,3.666666667,0.012542759,0.003420753,0
0,246551,24,583,29,1,626791,1027,4696,4.6,0.759481327,29,0.04974271,0.001715266,0
0,284079,26,616,27,0,626791,1027,4696,4.6,0.759481327,0,0.043831169,0,0
0,244937,17,632,24,0,626791,1027,4696,4.6,0.759481327,0,0.037974684,0,0
0,275513,21,391,13,5,626791,1027,4696,4.6,0.759481327,2.6,0.033248082,0.012787724,0
0,211440,13,358,10,6,626791,1027,4696,4.6,0.759481327,1.666666667,0.027932961,0.016759777,0
0,197373,8,197,4,1,626791,1027,4696,4.6,0.759481327,4,0.020304569,0.005076142,0
0,275536,16,242,2,3,626791,1027,4696,4.6,0.759481327,0.666666667,0.008264463,0.012396694,0
0,198220,9,158,2,6,626791,1027,4696,4.6,0.759481327,0.333333333,0.012658228,0.037974684,0
0,233582,7,117,2,0,626791,1027,4696,4.6,0.759481327,0,0.017094017,0,0
0,236103,2,168,2,0,626791,1027,4696,4.6,0.759481327,0,0.011904762,0,0
0,279101,4,121,1,1,626791,1027,4696,4.6,0.759481327,1,0.008264463,0.008264463,0
0,222002,11,134,1,1,626791,1027,4696,4.6,0.759481327,1,0.007462687,0.007462687,0
0,197145,2,41,0,0,626791,1027,4696,4.6,0.759481327,0,0,0,0
0,97313,258,18916,860,74,215565,1336,1312,1,0.745720643,11.62162162,0.045464157,0.003912032,0
0,98276,169,8143,290,94,215565,1336,1312,1,0.745720643,3.085106383,0.03561341,0.011543657,0
1,167218,77,5514,136,10,215565,1336,1312,1,0.745720643,13.6,0.02466449,0.001813565,0
1,132467,160,4883,473,18,398328,1212,1308,1.1,0.744923616,26.27777778,0.09686668,0.003686258,1
0,131313,178,4988,463,7,398328,1212,1308,1.1,0.744923616,66.14285714,0.092822775,0.001403368,1
0,157499,172,5306,419,27,398328,1212,1308,1.1,0.744923616,15.51851852,0.078967207,0.005088579,0
0,161795,141,5258,362,12,398328,1212,1308,1.1,0.744923616,30.16666667,0.068847471,0.002282237,0
0,160613,144,4007,337,7,398328,1212,1308,1.1,0.744923616,48.14285714,0.08410282,0.001746943,0
0,137764,166,4376,325,82,398328,1212,1308,1.1,0.744923616,3.963414634,0.074268739,0.018738574,0
0,132575,111,4094,312,24,398328,1212,1308,1.1,0.744923616,13,0.076209086,0.005862237,0
0,136805,122,2438,253,20,398328,1212,1308,1.1,0.744923616,12.65,0.103773585,0.008203445,1
0,141340,108,3118,223,26,398328,1212,1308,1.1,0.744923616,8.576923077,0.071520205,0.008338679,0
0,128976,120,2918,215,18,398328,1212,1308,1.1,0.744923616,11.94444444,0.073680603,0.006168609,0
0,161100,106,3750,204,41,398328,1212,1308,1.1,0.744923616,4.975609756,0.0544,0.010933333,0
0,132031,107,2670,173,29,398328,1212,1308,1.1,0.744923616,5.965517241,0.064794007,0.010861423,0
0,129907,76,1597,169,23,398328,1212,1308,1.1,0.744923616,7.347826087,0.105823419,0.014402004,1
0,137126,73,3535,149,77,398328,1212,1308,1.1,0.744923616,1.935064935,0.042149929,0.021782178,0
0,158000,84,2175,148,33,398328,1212,1308,1.1,0.744923616,4.484848485,0.068045977,0.015172414,0
